IW7,QW0,IW0,MW0
19034,3135,5,19660
18393,9470,3135,19660
17741,19065,9470,19660
17078,35290,22380,19660
16410,51540,35290,19660
15737,65535,51540,19660
15060,65535,65535,19660
14376,65535,65535,19660
13688,65535,65535,19660
12998,65535,65535,19660
12303,65535,65535,19660
11612,65535,65535,19660
10920,65535,65535,19660
10231,65535,65535,19660
9545,65535,65535,19660
8867,65535,65535,19660
8196,65535,65535,19660
7537,65535,65535,19660
6889,65535,65535,19660
6254,65535,65535,19660
5634,65535,65535,19660
5031,65535,65535,19660
4447,65535,65535,19660
3880,65535,65535,19660
3337,65535,65535,19660
2815,65535,65535,19660
2318,65535,65535,19660
1845,65535,65535,19660
1401,65535,65535,19660
982,65535,65535,19660
593,65535,65535,19660
236,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
21,65535,65535,19660
76,65535,65535,19660
165,65535,65535,19660
288,65535,65535,19660
445,65535,65535,19660
636,65535,65535,19660
862,65535,65535,19660
1122,65535,65535,19660
1416,65535,65535,19660
1741,65535,65535,19660
2097,65535,65535,19660
2479,65535,65535,19660
2890,65535,65535,19660
3328,65535,65535,19660
3804,65535,65535,19660
4310,65535,65535,19660
4843,65535,65535,19660
5402,65535,65535,19660
5982,65535,65535,19660
6589,65535,65535,19660
7218,65535,65535,19660
7869,65535,65535,19660
8538,65535,65535,19660
9224,65535,65535,19660
9929,65535,65535,19660
10634,65535,65535,19660
11338,65535,65535,19660
12048,65535,65535,19660
12763,65535,65535,19660
13519,65535,65535,19660
14286,65535,65535,19660
15058,65535,65535,19660
15831,65535,65535,19660
16605,65535,65535,19660
17380,65535,65535,19660
18151,65535,65535,19660
18919,65535,65535,19660
19680,65435,65535,19660
20433,61570,65435,19660
21178,50255,57845,19660
21890,39105,50255,19660
22544,24685,39105,19660
23175,7110,24685,19660
23779,0,7110,19660
24423,0,0,19660
25044,0,0,19660
25643,0,0,19660
26216,0,0,19660
26763,0,0,19660
27285,0,0,19660
27626,0,0,19660
27617,0,0,19660
27607,0,0,19660
27597,0,0,19660
27587,0,0,19660
27578,0,0,19660
27568,0,0,19660
27558,0,0,19660
27548,0,0,19660
27539,0,0,19660
27529,0,0,19660
27519,0,0,19660
27510,0,0,19660
27500,0,0,19660
27490,0,0,19660
27481,0,0,19660
27471,0,0,19660
27364,0,0,19660
27262,0,0,19660
27131,0,0,19660
26967,0,0,19660
26773,0,0,19660
26551,0,0,19660
26295,0,0,19660
26010,0,0,19660
25695,0,0,19660
25352,0,0,19660
24980,0,0,19660
24583,0,0,19660
24157,0,0,19660
23707,0,0,19660
23232,0,0,19660
22736,0,0,19660
22216,0,0,19660
21675,0,0,19660
21114,0,0,19660
20533,0,0,19660
19935,0,0,19660
19321,1695,0,19660
18691,6540,1695,19660
18045,14615,6540,19660
17388,25975,14615,19660
16722,40665,25975,19660
16050,58715,40665,19660
15373,65535,58715,19660
14691,65535,65535,19660
14006,65535,65535,19660
13316,65535,65535,19660
12621,65535,65535,19660
11925,65535,65535,19660
11232,65535,65535,19660
10538,65535,65535,19660
9848,65535,65535,19660
9164,65535,65535,19660
8488,65535,65535,19660
7820,65535,65535,19660
7163,65535,65535,19660
6518,65535,65535,19660
5885,65535,65535,19660
5267,65535,65535,19660
4666,65535,65535,19660
4085,65535,65535,19660
3524,65535,65535,19660
2983,65535,65535,19660
2467,65535,65535,19660
1976,65535,65535,19660
1509,65535,65535,19660
1067,65535,65535,19660
653,65535,65535,19660
273,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
21,65535,65535,19660
80,65535,65535,19660
174,65535,65535,19660
301,65535,65535,19660
461,65535,65535,19660
656,65535,65535,19660
885,65535,65535,19660
1148,65535,65535,19660
1446,65535,65535,19660
1773,65535,65535,19660
2135,65535,65535,19660
2528,65535,65535,19660
2951,65535,65535,19660
3404,65535,65535,19660
3887,65535,65535,19660
4395,65535,65535,19660
4923,65535,65535,19660
5473,65535,65535,19660
6046,65535,65535,19660
6641,65535,65535,19660
7271,65535,65535,19660
7923,65535,65535,19660
8594,65535,65535,19660
9282,65535,65535,19660
9987,65535,65535,19660
10707,65535,65535,19660
11440,65535,65535,19660
12182,65535,65535,19660
12939,65535,65535,19660
13700,65535,65535,19660
14470,65535,65535,19660
15246,65535,65535,19660
15996,65535,65535,19660
16727,65535,65535,19660
17455,65535,65535,19660
18175,65535,65535,19660
18939,65535,65535,19660
19696,65355,65535,19660
20446,61425,65355,19660
21188,53784,61424,19660
21917,42499,53784,19660
22628,27658,42498,19660
23322,9348,27658,19660
23995,0,9348,19660
24639,0,0,19660
25259,0,0,19660
25857,0,0,19660
26428,0,0,19660
26974,0,0,19660
27494,0,0,19660
27760,0,0,19660
27750,0,0,19660
27740,0,0,19660
27730,0,0,19660
27721,0,0,19660
27711,0,0,19660
27701,0,0,19660
27691,0,0,19660
27681,0,0,19660
27672,0,0,19660
27662,0,0,19660
27652,0,0,19660
27642,0,0,19660
27633,0,0,19660
27623,0,0,19660
27613,0,0,19660
27603,0,0,19660
27564,0,0,19660
27496,0,0,19660
27393,0,0,19660
27262,0,0,19660
27097,0,0,19660
26902,0,0,19660
26679,0,0,19660
26421,0,0,19660
26135,0,0,19660
25819,0,0,19660
25478,0,0,19660
25108,0,0,19660
24710,0,0,19660
24286,0,0,19660
23838,0,0,19660
23365,0,0,19660
22867,0,0,19660
22348,0,0,19660
21805,0,0,19660
21245,0,0,19660
20665,0,0,19660
20069,0,0,19660
19452,1040,0,19660
18823,5225,1040,19660
18178,12635,5225,19660
17521,23330,12635,19660
16855,37355,23330,19660
16183,58100,40715,19660
15507,65535,58100,19660
14827,65535,65535,19660
14143,65535,65535,19660
13454,65535,65535,19660
12764,65535,65535,19660
12072,65535,65535,19660
11380,65535,65535,19660
10692,65535,65535,19660
10006,65535,65535,19660
8649,65535,65535,19660
8649,65535,65535,19660
7327,65535,65535,19660
7327,65535,65535,19660
6056,65535,65535,19660
5444,65535,65535,19660
5444,65535,65535,19660
4269,65535,65535,19660
3710,65535,65535,19660
3175,65535,65535,19660
2661,65535,65535,19660
2172,65535,65535,19660
1711,65535,65535,19660
1276,65535,65535,19660
869,65535,65535,19660
492,65535,65535,19660
148,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
33,65535,65535,19660
101,65535,65535,19660
203,65535,65535,19660
338,65535,65535,19660
509,65535,65535,19660
713,65535,65535,19660
952,65535,65535,19660
1225,65535,65535,19660
1528,65535,65535,19660
1863,65535,65535,19660
2229,65535,65535,19660
2622,65535,65535,19660
3044,65535,65535,19660
3503,65535,65535,19660
3992,65535,65535,19660
4508,65535,65535,19660
5049,65535,65535,19660
5617,65535,65535,19660
6211,65535,65535,19660
6827,65535,65535,19660
7465,65535,65535,19660
8125,65535,65535,19660
8803,65535,65535,19660
9499,65535,65535,19660
10195,65535,65535,19660
10892,65535,65535,19660
11598,65535,65535,19660
12310,65535,65535,19660
13062,65535,65535,19660
13824,65535,65535,19660
14592,65535,65535,19660
15364,65535,65535,19660
16138,65535,65535,19660
16913,65535,65535,19660
17688,65535,65535,19660
18460,65535,65535,19660
19229,65535,65535,19660
19990,63885,65535,19660
20744,58465,63885,19660
21465,49440,58465,19660
22132,37080,49440,19660
22779,21485,37080,19660
23402,2774,21484,19660
24065,0,2774,19660
24700,0,0,19660
25313,0,0,19660
25904,0,0,19660
26468,0,0,19660
27008,0,0,19660
27521,0,0,19660
27639,0,0,19660
27629,0,0,19660
27620,0,0,19660
27610,0,0,19660
27600,0,0,19660
27590,0,0,19660
27581,0,0,19660
27571,0,0,19660
27561,0,0,19660
27552,0,0,19660
27542,0,0,19660
27532,0,0,19660
27523,0,0,19660
27513,0,0,19660
27504,0,0,19660
27494,0,0,19660
27476,0,0,19660
27429,0,0,19660
27348,0,0,19660
