IW8,MW2,QW2,IW4
54876,55295,0,0
54946,55295,0,0
55016,55295,0,0
55086,55295,0,0
55156,55295,0,0
55225,55295,0,0
55295,55295,0,0
55365,55295,44799,0
55434,55295,65535,44799
55362,55295,65535,65535
55140,55295,0,65535
54920,55295,0,0
54711,55295,0,0
54782,55295,0,0
54852,55295,0,0
54922,55295,0,0
54991,55295,0,0
55061,55295,0,0
55131,55295,0,0
55200,55295,0,0
55270,55295,0,0
55339,55295,28160,0
55408,55295,65535,28160
55472,55295,65535,65535
55408,55295,65535,65535
55185,55295,0,65535
54964,55295,0,0
54754,55295,0,0
54824,55295,0,0
54893,55295,0,0
54962,55295,0,0
55030,55295,0,0
55099,55295,0,0
55168,55295,0,0
55236,55295,0,0
55304,55295,5760,0
55372,55295,55039,5760
55439,55295,65535,55039
55471,55295,65535,65535
55292,55295,63615,65535
55068,55295,0,63615
54846,55295,0,0
54644,55295,0,0
54712,55295,0,0
54779,55295,0,0
54847,55295,0,0
54914,55295,0,0
54978,55295,0,0
55031,55295,0,0
55068,55295,0,0
55084,55295,0,0
55073,55295,0,0
55036,55295,0,0
54998,55295,0,0
54961,55295,0,0
54923,55295,0,0
54886,55295,0,0
54848,55295,0,0
54811,55295,0,0
54773,55295,0,0
54736,55295,0,0
54699,55295,0,0
54661,55295,0,0
54624,55295,0,0
54587,55295,0,0
54549,55295,0,0
54512,55295,0,0
54475,55295,0,0
54438,55295,0,0
54401,55295,0,0
54364,55295,0,0
54327,55295,0,0
54290,55295,0,0
54253,55295,0,0
54216,55295,0,0
54179,55295,0,0
54142,55295,0,0
54106,55295,0,0
54069,55295,0,0
54032,55295,0,0
53996,55295,0,0
53959,55295,0,0
53923,55295,0,0
53887,55295,0,0
53850,55295,0,0
53814,55295,0,0
53778,55295,0,0
53742,55295,0,0
53706,55295,0,0
53670,55295,0,0
53635,55295,0,0
53599,55295,0,0
53564,55295,0,0
53528,55295,0,0
53493,55295,0,0
53458,55295,0,0
53423,55295,0,0
53388,55295,0,0
53353,55295,0,0
53323,55295,0,0
53304,55295,0,0
53305,55295,0,0
53326,55295,0,0
53373,55295,0,0
53443,55295,0,0
53512,55295,0,0
53582,55295,0,0
53651,55295,0,0
53721,55295,0,0
53791,55295,0,0
53860,55295,0,0
53930,55295,0,0
53999,55295,0,0
54069,55295,0,0
54139,55295,0,0
54208,55295,0,0
54278,55295,0,0
54348,55295,0,0
54418,55295,0,0
54487,55295,0,0
54557,55295,0,0
54627,55295,0,0
54697,55295,0,0
54766,55295,0,0
54836,55295,0,0
54906,55295,0,0
54976,55295,0,0
55045,55295,0,0
55115,55295,0,0
55185,55295,0,0
55255,55295,0,0
55324,55295,18560,0
55394,55295,65535,18560
55460,55295,65535,65535
55438,55295,65535,65535
55215,55295,14336,65535
54995,55295,0,14336
54784,55295,0,0
54794,55295,0,0
54864,55295,0,0
54934,55295,0,0
55004,55295,0,0
55073,55295,0,0
55143,55295,0,0
55213,55295,0,0
55283,55295,0,0
55352,55295,36479,0
55421,55295,65535,36479
55484,55295,65535,65535
55385,55295,65535,65535
55163,55295,0,65535
54942,55295,0,0
54733,55295,0,0
54803,55295,0,0
54873,55295,0,0
54942,55295,0,0
55011,55295,0,0
55080,55295,0,0
55150,55295,0,0
55218,55295,0,0
55287,55295,0,0
55356,55295,39039,0
55424,55295,65535,39039
55485,55295,65535,65535
55374,55295,65535,65535
55151,55295,0,65535
54929,55295,0,0
54719,55295,0,0
54788,55295,0,0
54856,55295,0,0
54924,55295,0,0
54992,55295,0,0
55060,55295,0,0
55128,55295,0,0
55195,55295,0,0
55262,55295,0,0
55329,55295,21760,0
55396,55295,65535,21759
55459,55295,65535,65535
55408,55295,65535,65535
55159,55295,0,65535
54893,55295,0,0
54617,55295,0,0
54592,55295,0,0
54555,55295,0,0
54518,55295,0,0
54481,55295,0,0
54444,55295,0,0
54407,55295,0,0
54370,55295,0,0
54333,55295,0,0
54296,55295,0,0
54259,55295,0,0
54223,55295,0,0
54186,55295,0,0
54149,55295,0,0
54112,55295,0,0
54075,55295,0,0
54002,55295,0,0
53966,55295,0,0
53966,55295,0,0
53929,55295,0,0
53893,55295,0,0
53856,55295,0,0
53783,55295,0,0
53747,55295,0,0
53711,55295,0,0
53674,55295,0,0
53638,55295,0,0
53602,55295,0,0
53566,55295,0,0
53530,55295,0,0
53494,55295,0,0
53458,55295,0,0
53422,55295,0,0
53387,55295,0,0
53351,55295,0,0
53315,55295,0,0
53280,55295,0,0
53245,55295,0,0
53209,55295,0,0
53174,55295,0,0
53139,55295,0,0
53104,55295,0,0
53069,55295,0,0
53035,55295,0,0
53000,55295,0,0
52965,55295,0,0
52931,55295,0,0
52900,55295,0,0
52876,55295,0,0
52865,55295,0,0
52872,55295,0,0
52903,55295,0,0
52962,55295,0,0
53032,55295,0,0
53102,55295,0,0
53172,55295,0,0
53242,55295,0,0
53312,55295,0,0
53382,55295,0,0
53452,55295,0,0
53522,55295,0,0
